ARREST_DATE,ARREST_BORO,PERP_SEX,PERP_RACE
01/03/2025,M,M,WHITE HISPANIC
01/16/2025,K,M,BLACK
01/08/2025,Q,M,BLACK
01/25/2025,B,M,WHITE HISPANIC
01/03/2025,B,M,BLACK
01/01/2025,K,M,BLACK
01/04/2025,M,M,WHITE
01/08/2025,K,M,BLACK
01/16/2025,M,M,WHITE
01/22/2025,Q,F,BLACK
01/07/2025,K,M,BLACK
01/16/2025,M,M,BLACK
01/26/2025,K,M,WHITE HISPANIC
01/21/2025,K,M,WHITE
01/15/2025,S,F,BLACK
01/23/2025,K,M,BLACK
01/24/2025,M,M,BLACK
01/12/2025,K,M,BLACK
01/28/2025,S,F,BLACK
01/01/2025,Q,M,BLACK
01/12/2025,B,F,WHITE HISPANIC
01/16/2025,S,M,BLACK
01/21/2025,B,M,BLACK
01/14/2025,K,F,BLACK
01/18/2025,M,M,ASIAN / PACIFIC ISLANDER
01/17/2025,Q,M,ASIAN / PACIFIC ISLANDER
01/11/2025,S,M,AMERICAN INDIAN/ALASKAN NATIVE
01/09/2025,K,M,BLACK
01/28/2025,M,M,BLACK
01/24/2025,M,F,BLACK
01/17/2025,M,M,WHITE HISPANIC
01/04/2025,Q,M,ASIAN / PACIFIC ISLANDER
01/22/2025,Q,M,WHITE
01/19/2025,S,M,ASIAN / PACIFIC ISLANDER
01/16/2025,M,M,BLACK
01/23/2025,K,F,BLACK
01/25/2025,Q,M,WHITE HISPANIC
01/07/2025,M,F,BLACK
01/12/2025,K,M,BLACK
01/27/2025,B,M,BLACK
01/22/2025,B,M,WHITE HISPANIC
01/20/2025,M,M,BLACK
01/08/2025,K,M,WHITE HISPANIC
01/08/2025,K,M,BLACK
01/04/2025,B,M,BLACK
01/27/2025,M,M,BLACK
01/18/2025,Q,M,BLACK HISPANIC
01/27/2025,B,F,BLACK
01/18/2025,B,F,BLACK
01/09/2025,K,M,BLACK
01/09/2025,K,M,BLACK
01/04/2025,M,M,BLACK
01/22/2025,Q,M,WHITE
01/03/2025,K,M,BLACK HISPANIC
01/24/2025,Q,M,WHITE HISPANIC
01/21/2025,M,M,BLACK
01/06/2025,M,M,WHITE HISPANIC
01/29/2025,Q,M,ASIAN / PACIFIC ISLANDER
01/07/2025,B,F,BLACK
02/01/2025,M,F,BLACK
01/15/2025,B,M,WHITE HISPANIC
01/07/2025,B,F,BLACK
01/13/2025,B,M,WHITE HISPANIC
01/01/2025,B,M,BLACK HISPANIC
01/26/2025,Q,F,BLACK HISPANIC
01/25/2025,K,M,BLACK
01/07/2025,M,M,BLACK
01/07/2025,B,M,BLACK
01/26/2025,K,M,BLACK
01/20/2025,B,M,BLACK
01/17/2025,K,M,BLACK
01/20/2025,K,M,BLACK
01/28/2025,Q,M,WHITE
01/13/2025,B,M,BLACK
01/02/2025,B,M,BLACK
01/12/2025,S,F,WHITE HISPANIC
01/16/2025,M,M,BLACK HISPANIC
01/17/2025,B,M,BLACK
01/26/2025,S,M,BLACK
01/29/2025,K,M,WHITE HISPANIC
01/19/2025,Q,M,WHITE HISPANIC
01/05/2025,K,M,BLACK
01/20/2025,K,M,BLACK
01/26/2025,Q,M,WHITE HISPANIC
01/12/2025,K,M,WHITE HISPANIC
01/29/2025,M,M,BLACK
01/14/2025,B,M,WHITE HISPANIC
01/12/2025,B,M,WHITE HISPANIC
01/07/2025,K,M,BLACK
01/08/2025,K,M,BLACK
01/24/2025,K,M,BLACK
01/18/2025,Q,M,BLACK
01/11/2025,B,M,BLACK
01/14/2025,S,F,BLACK
01/18/2025,B,M,BLACK HISPANIC
01/16/2025,Q,M,BLACK
01/15/2025,B,M,BLACK
01/12/2025,B,M,BLACK HISPANIC
01/29/2025,B,M,WHITE HISPANIC
01/26/2025,B,M,BLACK HISPANIC
01/29/2025,B,M,BLACK
01/01/2025,B,M,BLACK
01/10/2025,Q,M,BLACK
01/14/2025,B,M,BLACK
01/26/2025,K,M,BLACK
01/28/2025,M,M,WHITE HISPANIC
01/17/2025,M,M,WHITE HISPANIC
01/07/2025,B,F,BLACK HISPANIC
01/29/2025,B,F,WHITE HISPANIC
01/11/2025,M,M,BLACK
01/27/2025,B,M,WHITE HISPANIC
01/13/2025,B,M,BLACK HISPANIC
01/02/2025,K,M,WHITE HISPANIC
01/16/2025,K,M,BLACK
01/10/2025,M,F,BLACK
01/10/2025,K,M,BLACK
01/28/2025,B,M,WHITE
01/15/2025,M,M,WHITE HISPANIC
01/19/2025,B,M,WHITE HISPANIC
01/31/2025,Q,M,WHITE HISPANIC
01/30/2025,M,M,BLACK
01/31/2025,B,M,BLACK
01/30/2025,K,M,BLACK
01/31/2025,K,M,BLACK
01/31/2025,S,M,WHITE HISPANIC
01/29/2025,M,F,BLACK
01/30/2025,B,M,BLACK
01/30/2025,Q,M,WHITE HISPANIC
01/31/2025,K,M,WHITE HISPANIC
01/31/2025,B,M,WHITE HISPANIC
01/30/2025,B,M,BLACK HISPANIC
01/30/2025,Q,M,BLACK
